ID,name,spacefarerNickName,email,stardustCollection,stardustCollectionStatus,wormholeNavigationSkill,originPlanet_ID,spacesuitColor,department_ID,position_ID,imageUrl
d8706f1b-b40c-476f-b533-1acb6424669f,Black Widow,Nats,nats@sap.com,200,1,4,fdc3e7d9-73a0-4f9c-a508-481b6e579fd6,Black,257ed02a-88cc-41f6-a1a0-0972fdfbecba,7689a670-cbe9-431a-b88d-a33ea9f8a513,https://papers.co/wallpaper/papers.co-ak77-avengers-age-of-ultron-scarlett-johansson-black-widow-36-3840x2400-4k-wallpaper.jpg
c9124e75-f878-4064-ab4f-423029f7f5f9,God Of Thunder,Thor,thor.asgard@sap.com,350,2,3,e794898c-f49e-4ae0-b247-28ad57528cc5,BlackishGrey,257ed02a-88cc-41f6-a1a0-0972fdfbecba,fb9a4274-b6c5-4086-855b-31335e93434e,https://rukminim2.flixcart.com/image/850/1000/l0tweq80/sticker/q/5/8/small-thor-poster-sticker-self-adhesive-12-inch-x-18-inch-12-original-imagc8afcvpmj5gq.jpeg?q=90&crop=false
0229f85d-0447-4b9e-ba8e-976f4ed58976,Iron Man,Stark,Jarvis@sap.com,400,2,4,fdc3e7d9-73a0-4f9c-a508-481b6e579fd6,Red,257ed02a-88cc-41f6-a1a0-0972fdfbecba,7689a670-cbe9-431a-b88d-a33ea9f8a513,https://wallpapers.com/images/hd/iron-man-pictures-k83lqhe6vnh95b1m.jpg
b2730ecc-2e6c-417d-8fe2-d37023bee3d5,Captain America,Steve,Steve@sap.com,500,3,2,fdc3e7d9-73a0-4f9c-a508-481b6e579fd6,SkyBlue,257ed02a-88cc-41f6-a1a0-0972fdfbecba,7689a670-cbe9-431a-b88d-a33ea9f8a513,https://wallpapers.com/images/hd/captain-america-android-0aqaztdwgpz41epy.jpg
e33b5cb8-652d-45c8-a23e-359dc28eaa0c,Spider-Man,Parker,Peter.Parker@sap.com,300,1,2,fdc3e7d9-73a0-4f9c-a508-481b6e579fd6,RedAndBlue,257ed02a-88cc-41f6-a1a0-0972fdfbecba,7689a670-cbe9-431a-b88d-a33ea9f8a513,https://static.wikia.nocookie.net/marvelcinematicuniverse/images/9/94/Spider-Man_Red_and_Blue.jpg/revision/latest?cb=20220417141216
47dbe1c3-95aa-4322-90c5-e2be4d78a0a8,Hulk,"Bruce ",Bruce.Banner@sap.com,400,2,2,fdc3e7d9-73a0-4f9c-a508-481b6e579fd6,Green,257ed02a-88cc-41f6-a1a0-0972fdfbecba,7689a670-cbe9-431a-b88d-a33ea9f8a513,https://images.squarespace-cdn.com/content/v1/51b3dc8ee4b051b96ceb10de/a22e9170-95b2-46f2-8291-3500a60af331/marvel-studios-is-reportedly-finally-developing-a-solo-hulk-movie.jpg
ac56dcc6-ff39-4d13-b161-d82e110285c3,Hawkeye,Barton,Clint.Barton@sap.com,350,2,3,fdc3e7d9-73a0-4f9c-a508-481b6e579fd6,BluePurple,257ed02a-88cc-41f6-a1a0-0972fdfbecba,7689a670-cbe9-431a-b88d-a33ea9f8a513,https://media1.popsugar-assets.com/files/thumbor/uT0W7giy6eyR3zwUArPyjWPAsRo=/fit-in/562x843/filters:format_auto():extract_cover():upscale()/2012/10/41/3/192/1922283/bb1b242beb818201_hawk.jpeg
87842d93-cc11-485e-8a9c-31315c15cfb3,BlackPanther,Challa,T.Challa@sap.com,450,2,4,fdc3e7d9-73a0-4f9c-a508-481b6e579fd6,Black,257ed02a-88cc-41f6-a1a0-0972fdfbecba,7689a670-cbe9-431a-b88d-a33ea9f8a513,https://cdn.vox-cdn.com/thumbor/yIZZYqnpghp6uqr4dZaCl-VDfP4=/0x0:915x610/1200x800/filters:focal(381x34:527x180)/cdn.vox-cdn.com/uploads/chorus_image/image/62662374/boseman.0.jpg
e91ff619-ff06-4912-9a7a-5669924352c8,Doctor Strange,Stephen,Stephen.s@sap.com,600,3,1,fdc3e7d9-73a0-4f9c-a508-481b6e579fd6,BlueAndRed,257ed02a-88cc-41f6-a1a0-0972fdfbecba,7689a670-cbe9-431a-b88d-a33ea9f8a513,https://static.wikia.nocookie.net/marvelmovies/images/0/08/Textless_Doctor_Strange.jpg/revision/latest/scale-to-width-down/1200?cb=20160102212553
4c8b9a45-0aa3-4b54-a5e9-c8c942a0af7b,Ant-Man,Scott,Scott.Lang@sap.com,800,3,2,fdc3e7d9-73a0-4f9c-a508-481b6e579fd6,Red,257ed02a-88cc-41f6-a1a0-0972fdfbecba,7689a670-cbe9-431a-b88d-a33ea9f8a513,https://static01.nyt.com/images/2018/07/06/arts/06antman1-dressrefer/06antman1-dressrefer-superJumbo.jpg
e0b26bfc-5aae-450a-99fc-a4be59c03dac,Wolverine,Logan,Logan@sap.com,200,1,3,fdc3e7d9-73a0-4f9c-a508-481b6e579fd6,White,257ed02a-88cc-41f6-a1a0-0972fdfbecba,7689a670-cbe9-431a-b88d-a33ea9f8a513,"https://media.gq.com/photos/58b9fda8803bdb766dd69ef7/16:9/w_1280,c_limit/wolverine.jpg"
